ORDER_ID,RETAILER_ID,BRAND_ID,ORDER_CREATED,ORDER_STATE,TOTAL_GMV
3768588,372124,229842,2021-07-01 00:00:00,PROCESSING,242.82
3768760,206862,227761,2021-07-01 00:00:00,PROCESSING,255.4722
3769023,363572,27622,2021-07-01 00:00:00,PROCESSING,202.5204
3769105,211343,58149,2021-07-01 00:00:00,PROCESSING,207.14250000000000
3770421,349628,194525,2021-07-01 00:00:00,PROCESSING,575.1
3770452,369673,70659,2021-07-01 00:00:00,PROCESSING,329.2128
3770526,351811,3531,2021-07-01 00:00:00,PROCESSING,268.38
3770611,352359,66983,2021-07-01 00:00:00,PROCESSING,696.7656
3770895,353385,193267,2021-07-01 00:00:00,PROCESSING,125.75520000000000
3771442,360475,6850,2021-07-01 00:00:00,PROCESSING,1505.9100000000000
3771443,75194,35283,2021-07-01 00:00:00,PROCESSING,316.5606
3771802,105635,16541,2021-07-01 00:00:00,PROCESSING,498.42000000000000
3771811,370708,64676,2021-07-01 00:00:00,PROCESSING,230.04
3769326,367951,4589,2021-07-01 00:00:00,PROCESSING,498.42000000000000
3769472,323100,4198,2021-07-01 00:00:00,PROCESSING,223.65000000000000
3769479,343117,50189,2021-07-01 00:00:00,PROCESSING,1052.22
3769505,343427,215397,2021-07-01 00:00:00,PROCESSING,334.7295
3769579,130421,113500,2021-07-01 00:00:00,PROCESSING,596.4
3769912,171886,3338,2021-07-01 00:00:00,PROCESSING,1171.5
3769997,371469,3959,2021-07-01 00:00:00,PROCESSING,1859.49
3770289,226149,193170,2021-07-01 00:00:00,PROCESSING,330.4695
3770398,367698,4838,2021-07-01 00:00:00,PROCESSING,881.8200000000000
3770437,369673,75549,2021-07-01 00:00:00,PROCESSING,303.525
3770437,369673,75549,2021-07-01 00:00:00,PROCESSING,811.53
3770437,369673,75549,2021-07-01 00:00:00,PROCESSING,354.645
3770560,146511,106519,2021-07-01 00:00:00,PROCESSING,1064.9148
3770752,37270,9431,2021-07-01 00:00:00,PROCESSING,225.78
3771643,339669,245473,2021-07-01 00:00:00,PROCESSING,791.5293
3771699,351696,184775,2021-07-01 00:00:00,PROCESSING,255.6
3771811,370708,220570,2021-07-01 00:00:00,PROCESSING,186.0342
3771950,58770,4415,2021-07-01 00:00:00,PROCESSING,502.68000000000000
3772005,372701,196019,2021-07-01 00:00:00,PROCESSING,377.01
3768691,351645,4630,2021-07-01 00:00:00,PROCESSING,630.48
3768692,356571,58325,2021-07-01 00:00:00,PROCESSING,1917.0
3768721,305500,64094,2021-07-01 00:00:00,PROCESSING,695.4450000000000
3768774,305500,20403,2021-07-01 00:00:00,PROCESSING,400.1844
3768855,340525,3564,2021-07-01 00:00:00,PROCESSING,464.16960000000000
3769071,350867,5060,2021-07-01 00:00:00,PROCESSING,571.905
3769155,350569,20667,2021-07-01 00:00:00,PROCESSING,272.64
